,Name,Symbol,Market Cap,Price,Circulating Supply,Volume(24h),% 1h,% 24h,% 7d,minable
0,BTCBitcoin,BTC,102494987524097.0,5197698.0,1645773279.0,1770526607193.0,0.37,-2.09,0.17,1
1,ETHEthereum,ETH,34380576099843.0,286048.0,10031176164.0,838332830291.0,0.29,-1.41,0.3,0
2,USDTTether USDt,USDT,9401114361293.0,83.0,9413231049958.0,3379304034104.0,0.0,-0.03,-0.1,0
3,BNBBNB,BNB,7132039790458.0,48326.0,12317283523.0,128067338917.0,0.54,-0.42,0.14,0
4,SOLSolana,SOL,5897079899178.0,12743.0,38623475916.0,153594603471.0,2.3,3.34,9.66,0
5,USDCUSDC,USDC,2708268419978.0,83.0,2708262268058.0,352140199921.0,,,-0.01,0
6,XRPXRP,XRP,2243883855643.0,40.0,4647747819994.0,71840391918.0,0.22,1.17,0.92,0
7,TONToncoin,TON,1651901183539.0,672.0,205318487536.0,24869757994.0,-0.06,4.45,6.96,0
8,DOGEDogecoin,DOGE,1506777502161.0,10.0,12097755378609.0,33777545364.0,1.22,-0.6,-2.71,1
9,ADACardano,ADA,1247609206976.0,35.0,2984404853673.0,22070390079.0,1.35,3.22,5.42,0
10,AVAXAvalanche,AVAX,941674114813.0,2389.0,32897974696.0,21917787976.0,1.03,-3.59,11.92,0
11,TRXTRON,TRX,935548165668.0,11.0,7276557050224.0,19304853343.0,-0.11,0.37,5.68,0
12,SHIBShiba Inu,SHIB,845247187663.0,0.0,4.918054945989784e+16,13140719997.0,1.04,-0.44,-5.15,0
13,DOTPolkadot,DOT,784588237409.0,546.0,120011593351.0,17936297796.0,2.93,2.74,10.2,0
14,LINKChainlink,LINK,739065448954.0,1215.0,50752023496.0,23136255736.0,0.93,0.92,2.76,0
15,BCHBitcoin Cash,BCH,631002232572.0,31986.0,1646456900.0,15931789901.0,0.84,-1.74,-2.27,1
16,NEARNEAR Protocol,NEAR,501559528439.0,458.0,91296694364.0,18396239012.0,0.94,3.09,-0.95,0
17,MATICPolygon,MATIC,471772402557.0,48.0,824955587825.0,14180211626.0,1.39,1.09,-0.57,0
18,LTCLitecoin,LTC,469052883745.0,6279.0,6234985712.0,18880822544.0,0.12,0.29,4.64,1
19,UNIUniswap,UNI,450051827723.0,750.0,50078862261.0,11450439253.0,0.93,-3.9,-5.36,0
20,LEOUNUS SED LEO,LEO,447841218947.0,483.0,77292253587.0,84148462.0,0.28,-0.07,0.55,0
21,DAIDai,DAI,446294477635.0,83.0,446334782222.0,44106947644.0,,0.0,-0.03,0
22,PEPEPepe,PEPE,394970901698.0,0.0,3.511077905399958e+16,41059259271.0,1.22,-3.32,-13.38,0
23,KASKaspa,KAS,363829793469.0,15.0,2010219910985.0,6798926601.0,1.13,0.15,13.26,1
24,ICPInternet Computer,ICP,309943725122.0,666.0,38859196501.0,4025472265.0,1.08,-3.45,-4.38,0
25,ETCEthereum Classic,ETC,286465357415.0,1939.0,12331933006.0,8411835001.0,0.76,-1.42,-1.69,1
26,FETArtificial Superintelligence Alliance,FET,283332527240.0,113.0,210319200000.0,10927836853.0,1.48,-1.07,-15.56,0
27,APTAptos,APT,262622468393.0,579.0,37827637244.0,7329007017.0,1.31,-2.87,-0.75,0
28,XMRMonero,XMR,259762420552.0,14081.0,1539565254.0,3653935469.0,0.15,-0.57,4.22,1
