"SYMBOL 
","UNDERLYING ASSET 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
","VALUE 
 (₹ Crores)","NAV 
","52W H 
","52W L 
","30D  %CHNG 
","365 D 
","365 D % CHNG 
","30 D 
"
"BANKETFADD","DSP Nifty Bank ETF","53.34","55.00","52.71","53.34","55.00","1.66","3.11","1,06,687","0.57","53.21","58.92","36.14",7.43,"-","-","31-May-2024"
"BSLGOLDETF","Gold","63.72","65.00","63.71","63.64","65.00","1.36","2.14","35,763","0.23","63.95","67.55","42.82",-1.43,"30-Jun-2023","22.48","31-May-2024"
"PSUBANKADD","DSP Nifty PSU Bank ETF","73.76","75.57","71.96","73.45","74.38","0.93","1.27","44,353","0.32","73.29","82.90","43.92",-1.16,"-","-","31-May-2024"
"MIDSMALL","Mirae Asset Nifty MidSmallcap400 Momentum Quality 100 ETF","52.79","52.99","52.30","52.17","52.80","0.63","1.21","2,81,585","1.48","52.57","53.70","45.50","-","-","-","-"
"SBIETFIT","Nifty IT Index","390.01","399.40","390.01","392.74","397.38","4.64","1.18","40,650","1.61","393.04","412.80","303.41",13.35,"30-Jun-2023","27.09","31-May-2024"
"ITBEES","Nifty IT TRI","39.40","40.00","39.36","39.31","39.75","0.44","1.12","2,02,75,361","80.55","39.38","41.56","30.25",13.29,"30-Jun-2023","27.05","31-May-2024"
"ITIETF","Nifty IT Index","39.34","39.98","39.30","39.29","39.73","0.44","1.12","11,68,802","4.64","39.32","41.35","28.20",13.92,"-","-","31-May-2024"
"HDFCNIFIT","HDFC NIFTY IT ETF","38.01","38.56","37.60","37.84","38.25","0.41","1.08","81,113","0.31","37.82","44.42","29.30",13.98,"30-Jun-2023","-87.28","31-May-2024"
"PVTBANKADD","DSP Nifty Private Bank ETF","26.50","26.70","26.01","26.18","26.45","0.27","1.03","1,11,293","0.29","26.36","31.00","21.75",7.12,"-","-","31-May-2024"
"ITETF","Mirae Asset Nifty IT ETF","37.60","38.05","37.20","37.47","37.85","0.38","1.01","3,47,093","1.31","37.45","40.00","30.40",13.75,"-","-","31-May-2024"
"HDFCBSE500","HDFC S&P BSE 500 ETF","36.50","36.60","36.01","36.23","36.59","0.36","0.99","21,899","0.08","36.29","36.60","25.30",7.28,"30-Jun-2023","40.32","31-May-2024"
"TECH","Nifty IT TRI Index","38.50","39.03","38.32","38.32","38.69","0.37","0.97","1,07,073","0.41","38.45","40.44","26.63",12.77,"30-Jun-2023","26.43","31-May-2024"
"UTISXN50","BSE Sensex Next 50","86.17","88.48","86.16","87.45","88.30","0.85","0.97","3,621","0.03","87.54","89.15","46.88",7.37,"30-Jun-2023","55.83","31-May-2024"
"ITETFADD","DSP Nifty IT ETF","37.11","37.98","37.10","37.40","37.75","0.35","0.94","1,72,160","0.65","37.47","39.40","29.00",13.13,"-","-","31-May-2024"
"IT","NIFTY IT Index","39.08","39.70","39.00","39.08","39.44","0.36","0.92","3,44,847","1.36","39.15","41.05","30.30",13.6,"-","-","31-May-2024"
"EGOLD","Edelweiss Gold ETF","73.35","73.65","73.10","73.00","73.65","0.65","0.89","370","-","73.18","76.85","53.10",-1.48,"-","-","31-May-2024"
"NIFITETF","UTI Nifty IT ETF","369.77","376.99","365.00","369.77","373.00","3.23","0.87","4,238","0.16","371.82","432.00","321.68",12.88,"-","-","31-May-2024"
"LICNETFGSC","GSEC10 NSE Index","25.79","25.90","25.25","25.63","25.85","0.22","0.86","43,387","0.11","25.52","27.97","23.10",0.99,"30-Jun-2023","7.55","31-May-2024"
"NIF5GETF","UTI Nifty 5 yr Benchmark G-Sec ETF","56.60","56.70","56.12","56.24","56.70","0.46","0.82","18,468","0.10","56.67","66.14","53.20",-0.46,"-","-","31-May-2024"
"HDFCNEXT50","HDFC NIFTY NEXT 50 ETF","73.38","73.50","71.78","72.84","73.44","0.60","0.82","70,180","0.51","72.74","75.15","39.61",6.79,"30-Jun-2023","-83.41","31-May-2024"
"SDL26BEES","Nifty SDL Apr 2026 Top 20 Equal Weight Index","123.97","123.97","121.00","122.48","123.49","1.01","0.82","3,747","0.05","122.12","125.75","110.40",1.1,"30-Jun-2023","7.59","31-May-2024"
"TNIDETF","Nifty India Digital Index","87.18","88.19","87.10","87.18","87.88","0.70","0.80","79,985","0.70","87.58","88.19","53.50",13.03,"30-Jun-2023","44.19","31-May-2024"
"SHARIABEES","Shariah","527.50","529.64","522.03","524.68","528.75","4.07","0.78","3,062","0.16","523.73","535.70","412.20",8.67,"30-Jun-2023","25.32","31-May-2024"
"MOM50","Nifty 50","246.36","248.00","244.00","246.18","248.00","1.82","0.74","3,160","0.08","246.77","277.00","190.45",7.03,"30-Jun-2023","26.98","31-May-2024"
"NIF10GETF","UTI Nifty 10 yr Benchmark G-Sec ETF","23.39","23.45","23.23","23.22","23.39","0.17","0.73","82,452","0.19","23.40","27.30","21.60",1.62,"-","-","31-May-2024"
"IDFNIFTYET","Nifty 50","263.34","265.50","260.00","263.33","265.25","1.92","0.73","479","0.01","260.70","269.90","176.00",7.82,"30-Jun-2023","28.70","31-May-2024"
"MONQ50","Nasdaq Q-50 Total Return Index","66.21","66.66","65.71","66.19","66.66","0.47","0.71","22,423","0.15","61.26","67.45","51.50",5.41,"30-Jun-2023","24.09","31-May-2024"
"MAFANG","NYSE FANG+ Total Return Index","95.00","95.54","94.94","94.63","95.27","0.64","0.68","4,65,837","4.44","95.48","99.79","59.00",-0.52,"30-Jun-2023","52.75","31-May-2024"
"AXSENSEX","AXIS S&P BSE SENSEX ETF","80.00","80.89","79.92","80.24","80.78","0.54","0.67","2,593","0.02","80.59","85.00","62.95",7.79,"30-Jun-2023","23.37","31-May-2024"
"DIVOPPBEES","Nifty Dividend Opportunities 50 TRI","80.75","81.31","77.90","80.31","80.80","0.49","0.61","62,049","0.50","80.30","82.25","53.05",5.81,"30-Jun-2023","49.89","31-May-2024"
"MOREALTY","Motilal Oswal Nifty Realty ETF","111.10","111.88","110.11","110.36","111.00","0.64","0.58","90,447","1.00","110.02","115.79","85.30",8.14,"-","-","31-May-2024"
"ABSLPSE","Aditya Birla Sun Life Nifty PSE ETF","10.64","10.78","10.52","10.67","10.73","0.06","0.56","8,19,637","0.88","10.72","11.60","9.26","-","-","-","-"
"NV20IETF","Nifty50 Value 20","14.85","14.85","14.61","14.62","14.70","0.08","0.55","4,32,896","0.63","14.63","16.30","12.32",7.11,"-","-","31-May-2024"
"HDFCSML250","HDFC NIFTY Smallcap 250 ETF","173.72","176.10","173.20","174.56","175.47","0.91","0.52","4,94,127","8.65","174.20","176.10","106.00",11.06,"30-Jun-2023","65.26","31-May-2024"
"CONSUMBEES","Nifty India Consumption TRI","123.77","123.85","122.13","123.23","123.85","0.62","0.50","99,070","1.22","123.17","127.00","89.43",6.65,"30-Jun-2023","35.60","31-May-2024"
"CPSEETF","CPSE ETF","94.80","94.90","93.20","93.94","94.40","0.46","0.49","1,83,67,043","172.52","94.08","99.70","41.65",2.41,"30-Jun-2023","112.44","31-May-2024"
"SILVERBEES","Domestic price of Silver- based on LBMA Silver daily spot fixing price","85.66","86.25","85.65","85.58","86.00","0.42","0.49","36,50,634","31.38","85.81","93.08","66.10",-5.54,"30-Jun-2023","26.65","31-May-2024"
"MON100","Nasdaq100","163.88","163.88","161.94","161.94","162.69","0.75","0.46","2,63,019","4.27","161.46","166.50","112.85",7.65,"30-Jun-2023","35.56","31-May-2024"
"NV20BEES","Nifty50 Value20 TRI","151.20","151.20","149.50","150.00","150.68","0.68","0.45","11,476","0.17","150.17","152.30","110.59",6.53,"30-Jun-2023","35.21","31-May-2024"
"SETFNN50","Nifty Next 50","759.99","763.43","751.00","758.39","761.69","3.30","0.44","31,672","2.41","760.49","776.99","445.65",6.12,"30-Jun-2023","65.65","31-May-2024"
