"SYMBOL","ISSUE PRICE","OPEN","HIGH","LOW","PREV. CLOSE","LTP","CHNG","%CHNG","VOLUME","VALUE (₹ Crores)","52W H","52W L","30D %CHNG","365 D","365 D % CHNG","30 D"
"SGBFEB27","3,276.00","7,490.00","7,500.00","7,490.00","7,283.00","7,500.00","217.00","2.98","11","0.01","7,542.00","5,751.01",-0.23,"03-Jul-2023","25.57","31-May-2024"
"SGBNOV26","3,133.00","7,400.00","7,533.00","7,400.00","7,400.00","7,533.00","133.00","1.80","13","0.01","7,533.00","5,775.00",0.14,"03-Jul-2023","24.37","29-May-2024"
"SGBSEP27","-","7,400.00","7,533.00","7,400.00","7,406.00","7,533.00","127.00","1.71","25","0.02","7,569.70","5,706.03",1.45,"03-Jul-2023","27.25","30-May-2024"
"SGBAUG30","-","7,525.00","7,650.00","7,525.00","7,544.69","7,650.00","105.31","1.40","161","0.12","7,700.00","5,750.00",1.96,"03-Jul-2023","28.23","31-May-2024"
"SGBJUL29IV","-","7,481.00","7,579.99","7,481.00","7,480.71","7,579.99","99.28","1.33","147","0.11","7,579.99","5,780.00",1.75,"03-Jul-2023","28.40","31-May-2024"
"SGBJUL25","2,780.00","7,474.95","7,474.95","7,350.05","7,348.43","7,419.00","70.57","0.96","23","0.02","7,474.95","5,681.00",0.07,"03-Jul-2023","26.19","31-May-2024"
"SGBMAY29I","-","7,429.00","7,531.00","7,420.00","7,429.05","7,500.00","70.95","0.96","1,694","1.27","7,531.00","5,700.00",1.53,"03-Jul-2023","28.14","31-May-2024"
"SGBJUN31I","-","7,659.99","7,683.99","7,642.00","7,603.12","7,672.98","69.86","0.92","1,341","1.03","7,683.99","5,750.00",2.34,"-","-","31-May-2024"
"SGBAUG28V","-","7,540.00","7,625.00","7,540.00","7,547.71","7,615.98","68.27","0.90","633","0.48","7,944.00","5,751.00",1.82,"03-Jul-2023","28.39","31-May-2024"
"SGBSEP29VI","-","7,466.03","7,599.00","7,426.01","7,466.03","7,533.00","66.97","0.90","327","0.24","7,800.00","5,652.00",2.02,"03-Jul-2023","28.35","31-May-2024"
"SGBMR29XII","-","7,470.00","7,520.00","7,410.01","7,466.25","7,520.00","53.75","0.72","124","0.09","7,520.00","5,712.00",1.8,"03-Jul-2023","28.56","31-May-2024"
"SGBNOV25","2,884.00","7,302.00","7,302.00","7,302.00","7,250.00","7,302.00","52.00","0.72","10","0.01","7,497.00","5,803.00",-0.68,"28-Jun-2023","20.95","30-May-2024"
"SGBAUG29V","-","7,501.00","7,555.00","7,461.00","7,501.00","7,555.00","54.00","0.72","46","0.03","7,594.00","5,807.00",0.61,"03-Jul-2023","26.15","31-May-2024"
"SGBOC28VII","-","7,410.00","7,450.00","7,410.00","7,399.21","7,450.00","50.79","0.69","82","0.06","7,450.00","5,776.00",1.03,"03-Jul-2023","26.90","31-May-2024"
"SGBJUL28IV","-","7,500.00","7,550.00","7,500.00","7,499.12","7,550.00","50.88","0.68","207","0.16","8,000.00","5,780.00",1.9,"03-Jul-2023","28.62","31-May-2024"
